            time               v             rho            temp          eratio            asym
  4.06049240E+04  4.32644662E+06  2.87520018E-09  2.12684451E+04  3.16709112E-02  0.00000000E+00
  4.09519746E+04  4.32691487E+06  2.87488903E-09  2.13329935E+04  3.20347756E-02  0.00000000E+00
  4.12990252E+04  4.32738312E+06  2.87457796E-09  2.13975418E+04  3.24017716E-02  0.00000000E+00
  4.16460759E+04  4.32785137E+06  2.87426695E-09  2.14620902E+04  3.27718587E-02  0.00000000E+00
  4.19931265E+04  4.32831962E+06  2.87395601E-09  2.15266385E+04  3.31449975E-02  0.00000000E+00
  4.23401771E+04  4.32878787E+06  2.87364514E-09  2.15911869E+04  3.35213397E-02  0.00000000E+00
  4.26872278E+04  4.32925613E+06  2.87333433E-09  2.16557353E+04  3.39007745E-02  0.00000000E+00
  4.30342784E+04  4.32972438E+06  2.87302360E-09  2.17202836E+04  3.42833934E-02  0.00000000E+00
  4.33813290E+04  4.33019263E+06  2.87271293E-09  2.17848320E+04  3.46691810E-02  0.00000000E+00
  4.37283797E+04  4.33066088E+06  2.87240232E-09  2.18493804E+04  3.50581247E-02  0.00000000E+00
  4.40754303E+04  4.33112913E+06  2.87209179E-09  2.19139287E+04  3.54502929E-02  0.00000000E+00
  4.44224809E+04  4.33159738E+06  2.87178132E-09  2.19784771E+04  3.58456713E-02  0.00000000E+00
  4.47695316E+04  4.33206563E+06  2.87147091E-09  2.20430254E+04  3.62442683E-02  0.00000000E+00
  4.51165822E+04  4.33253388E+06  2.87116058E-09  2.21075738E+04  3.66461066E-02  0.00000000E+00
  4.54636328E+04  4.33300214E+06  2.87085031E-09  2.21721222E+04  3.70512066E-02  0.00000000E+00
  4.58106835E+04  4.33347039E+06  2.87054011E-09  2.22366705E+04  3.74595800E-02  0.00000000E+00
  4.61577341E+04  4.33393864E+06  2.87022998E-09  2.23012189E+04  3.78712312E-02  0.00000000E+00
  4.65047847E+04  4.33440689E+06  2.86991991E-09  2.23657673E+04  3.82861858E-02  0.00000000E+00
  4.68518354E+04  4.33487514E+06  2.86960991E-09  2.24303156E+04  3.87044612E-02  0.00000000E+00
  4.71988860E+04  4.33534339E+06  2.86929998E-09  2.24948640E+04  3.91260612E-02  0.00000000E+00
  4.75459366E+04  4.33581164E+06  2.86899012E-09  2.25594123E+04  3.95510086E-02  0.00000000E+00
  4.78929873E+04  4.33627989E+06  2.86868032E-09  2.26239607E+04  3.99793162E-02  0.00000000E+00
  4.82400379E+04  4.33674815E+06  2.86837059E-09  2.26885091E+04  4.04109968E-02  0.00000000E+00
  4.85870885E+04  4.33721640E+06  2.86806092E-09  2.27530574E+04  4.08460681E-02  0.00000000E+00
  4.89341392E+04  4.33768465E+06  2.86775133E-09  2.28176058E+04  4.12845445E-02  0.00000000E+00
  4.92811898E+04  4.33815290E+06  2.86744179E-09  2.28821542E+04  4.17264405E-02  0.00000000E+00
  4.96282404E+04  4.33862115E+06  2.86713233E-09  2.29467025E+04  4.21717727E-02  0.00000000E+00
  4.99752910E+04  4.33908940E+06  2.86682293E-09  2.30112509E+04  4.26205540E-02  0.00000000E+00
  5.03223417E+04  4.33955765E+06  2.86651360E-09  2.30757992E+04  4.30728013E-02  0.00000000E+00
  5.06693923E+04  4.34002590E+06  2.86620434E-09  2.31403476E+04  4.35285284E-02  0.00000000E+00
  5.10164429E+04  4.34049416E+06  2.86589514E-09  2.32048960E+04  4.39877524E-02  0.00000000E+00
  5.13634936E+04  4.34096241E+06  2.86558602E-09  2.32694443E+04  4.44504855E-02  0.00000000E+00
  5.17105442E+04  4.34143066E+06  2.86527695E-09  2.33339927E+04  4.49167452E-02  0.00000000E+00
  5.20575948E+04  4.34189891E+06  2.86496796E-09  2.33985410E+04  4.53865456E-02  0.00000000E+00
  5.24046455E+04  4.34236716E+06  2.86465903E-09  2.34630894E+04  4.58599023E-02  0.00000000E+00
  5.27516961E+04  4.34283541E+06  2.86435016E-09  2.35276378E+04  4.63368296E-02  0.00000000E+00
  5.30987467E+04  4.34330366E+06  2.86404137E-09  2.35921861E+04  4.68173435E-02  0.00000000E+00
  5.34457974E+04  4.34377191E+06  2.86373264E-09  2.36567345E+04  4.73014586E-02  0.00000000E+00
  5.37928480E+04  4.34424017E+06  2.86342398E-09  2.37212829E+04  4.77891902E-02  0.00000000E+00
  5.41398986E+04  4.34470842E+06  2.86311538E-09  2.37858312E+04  4.82805528E-02  0.00000000E+00
  5.44869493E+04  4.34517667E+06  2.86280685E-09  2.38503796E+04  4.87755617E-02  0.00000000E+00
  5.48339999E+04  4.34564492E+06  2.86249839E-09  2.39149279E+04  4.92742318E-02  0.00000000E+00
  5.51810505E+04  4.34611317E+06  2.86218999E-09  2.39794763E+04  4.97765778E-02  0.00000000E+00
  5.55281012E+04  4.34658142E+06  2.86188166E-09  2.40440247E+04  5.02826146E-02  0.00000000E+00
  5.58751518E+04  4.34704967E+06  2.86157340E-09  2.41085730E+04  5.07923570E-02  0.00000000E+00
  5.62222024E+04  4.34751792E+06  2.86126520E-09  2.41731214E+04  5.13058194E-02  0.00000000E+00
  5.65692531E+04  4.34798618E+06  2.86095707E-09  2.42376698E+04  5.18230167E-02  0.00000000E+00
  5.69163037E+04  4.34845443E+06  2.86064900E-09  2.43022181E+04  5.23439631E-02  0.00000000E+00
  5.72633543E+04  4.34892268E+06  2.86034101E-09  2.43667665E+04  5.28686731E-02  0.00000000E+00
  5.76104050E+04  4.34939093E+06  2.86003308E-09  2.44313148E+04  5.33971609E-02  0.00000000E+00
  5.79574556E+04  4.34985918E+06  2.85972521E-09  2.44958632E+04  5.39294408E-02  0.00000000E+00
  5.83045062E+04  4.35032743E+06  2.85941741E-09  2.45604116E+04  5.44655268E-02  0.00000000E+00
  5.86515569E+04  4.35079568E+06  2.85910968E-09  2.46249599E+04  5.50054326E-02  0.00000000E+00
  5.89986075E+04  4.35126393E+06  2.85880201E-09  2.46895083E+04  5.55491722E-02  0.00000000E+00
  5.93456581E+04  4.35173219E+06  2.85849441E-09  2.47540567E+04  5.60967591E-02  0.00000000E+00
  5.96927088E+04  4.35220044E+06  2.85818688E-09  2.48186050E+04  5.66482068E-02  0.00000000E+00
  6.00397594E+04  4.35266869E+06  2.85787941E-09  2.48831534E+04  5.72035284E-02  0.00000000E+00
  6.03868100E+04  4.35313694E+06  2.85757201E-09  2.49477017E+04  5.77627371E-02  0.00000000E+00
  6.07338606E+04  4.35360519E+06  2.85726468E-09  2.50122501E+04  5.83258456E-02  0.00000000E+00
  6.10809113E+04  4.35407344E+06  2.85695741E-09  2.50767985E+04  5.88928666E-02  0.00000000E+00
  6.14279619E+04  4.35454169E+06  2.85665020E-09  2.51413468E+04  5.94638125E-02  0.00000000E+00
  6.17750125E+04  4.35500994E+06  2.85634307E-09  2.52058952E+04  6.00386953E-02  0.00000000E+00
  6.21220632E+04  4.35547820E+06  2.85603600E-09  2.52704436E+04  6.06175271E-02  0.00000000E+00
  6.24691138E+04  4.35594645E+06  2.85572899E-09  2.53349919E+04  6.12003192E-02  0.00000000E+00
  6.28161644E+04  4.35641470E+06  2.85542205E-09  2.53995403E+04  6.17870830E-02  0.00000000E+00
  6.31632151E+04  4.35688295E+06  2.85511518E-09  2.54640886E+04  6.23778295E-02  0.00000000E+00
  6.35102657E+04  4.35735120E+06  2.85480838E-09  2.55286370E+04  6.29725692E-02  0.00000000E+00
  6.38573163E+04  4.35781945E+06  2.85450164E-09  2.55931854E+04  6.35713124E-02  0.00000000E+00
  6.42043670E+04  4.35828770E+06  2.85419496E-09  2.56577337E+04  6.41740689E-02  0.00000000E+00
