2025-11-16T17:41:25.958 60995.73711 15.234 0.002 g    AB   P WFST     WFST    
2025-11-22T11:55:16.003 61001.49671 15.365 0.002 g    AB   P WFST     WFST    
2025-11-24T17:50:28.982 61003.74339 15.407 0.002 g    AB   P WFST     WFST    
2025-11-24T18:54:05.011 61003.78756 17.439 0.009 u    AB   P WFST     WFST    
2025-11-26T17:49:41.981 61005.74285 15.409 0.002 g    AB   P WFST     WFST    
2025-11-27T16:44:46.032 61006.69776 17.457 0.009 u    AB   P WFST     WFST    
2025-11-27T17:41:35.030 61006.73721 15.416 0.002 g    AB   P WFST     WFST    
2025-11-27T18:51:33.984 61006.78581 17.434 0.009 u    AB   P WFST     WFST    
2025-11-28T15:54:08.035 61007.66259 17.521 0.009 u    AB   P WFST     WFST    
2025-11-28T16:52:57.043 61007.70344 15.444 0.002 g    AB   P WFST     WFST    
2025-11-28T19:08:24.000 61007.79750 17.534 0.010 u    AB   P WFST     WFST    
2025-11-29T16:49:23.030 61008.70096 17.523 0.009 u    AB   P WFST     WFST    
2025-11-29T17:35:14.006 61008.73280 15.456 0.002 g    AB   P WFST     WFST    
2025-11-29T18:46:07.997 61008.78204 14.559 0.001 r    AB   P WFST     WFST    
2025-11-30T12:18:57.024 61009.51316 15.466 0.002 g    AB   P WFST     WFST    
2025-11-30T16:24:58.982 61009.68402 15.457 0.002 g    AB   P WFST     WFST    
2025-12-01T12:24:54.979 61010.51730 14.531 0.001 r    AB   P WFST     WFST    
2025-12-01T12:28:56.986 61010.52010 15.469 0.002 g    AB   P WFST     WFST    
2025-12-01T16:12:50.026 61010.67558 15.472 0.002 g    AB   P WFST     WFST    
2025-12-01T17:35:24.979 61010.73293 14.528 0.001 r    AB   P WFST     WFST    
2025-12-07T15:49:16.003 61016.65921 15.555 0.002 g    AB   P WFST     WFST    
2025-12-07T17:18:09.994 61016.72095 14.608 0.002 r    AB   P WFST     WFST    
2025-12-08T16:45:54.029 61017.69854 15.569 0.002 g    AB   P WFST     WFST    
2025-12-13T15:27:31.018 61022.64411 15.570 0.005 g    AB   P WFST     WFST    
2025-12-13T16:22:51.024 61022.68253 14.549 0.003 r    AB   P WFST     WFST    
2025-12-13T16:41:47.962 61022.69569 18.054 0.029 u    AB   P WFST     WFST    
2025-12-14T15:23:41.021 61023.64145 15.601 0.003 g    AB   P WFST     WFST    
2025-12-14T16:19:10.013 61023.67998 14.458 0.002 r    AB   P WFST     WFST    
2025-12-14T16:39:19.008 61023.69397 18.034 0.016 u    AB   P WFST     WFST    
2025-12-15T15:24:44.957 61024.64219 15.534 0.002 g    AB   P WFST     WFST    
2025-12-15T17:43:39.014 61024.73865 14.473 0.002 r    AB   P WFST     WFST    
2025-12-20T17:09:41.011 61029.71506 15.637 0.002 g    AB   P WFST     WFST    
2025-12-26T14:45:58.982 61035.61527 15.694 0.002 g    AB   P WFST     WFST    
2025-12-26T15:02:43.037 61035.62689 13.993 0.002 i    AB   P WFST     WFST    
2025-12-26T15:22:57.994 61035.64095 18.286 0.025 u    AB   P WFST     WFST    
2025-12-26T15:43:38.957 61035.65531 14.445 0.001 r    AB   P WFST     WFST    
2026-01-04T14:14:49.978 61044.59363 15.789 0.003 g    AB   P WFST     WFST    
2026-01-04T16:34:12.979 61044.69043 15.798 0.003 g    AB   P WFST     WFST    
2026-01-05T13:38:56.976 61045.56872 15.811 0.003 g    AB   P WFST     WFST    
2026-01-05T14:27:11.981 61045.60222 14.466 0.001 r    AB   P WFST     WFST    
2026-01-05T15:04:05.981 61045.62785 13.996 0.001 i    AB   P WFST     WFST    
